Food,Nutrient_0,Nutrient_1,Nutrient_2,Nutrient_0_Delay,Nutrient_0_StdDev,Nutrient_1_Delay,Nutrient_1_StdDev,Nutrient_2_Delay,Nutrient_2_StdDev
food_1,17,11,32,12,3,20,5,16,4
food_2,58,43,19,11,4,19,5,15,4
food_3,26,13,28,12,3,18,5,16,4
food_4,113,47,15,12,3,20,5,15,4
food_5,97,36,24,11,4,19,5,14,4
food_6,66,40,22,12,4,20,6,15,4
food_7,31,54,13,12,3,20,5,15,4
food_8,22,59,40,12,3,19,5,15,4
food_9,3,23,7,10,3,20,5,14,4
food_10,103,35,2,11,3,19,5,15,4
food_11,9,50,34,11,3,19,5,15,4
food_12,37,28,12,12,3,19,6,15,4
food_13,94,26,22,12,3,20,5,15,4
food_14,51,18,37,12,3,18,5,15,4
food_15,74,30,4,11,3,18,5,15,4
food_16,116,2,8,11,4,19,5,15,4
food_17,88,16,35,12,3,20,6,15,4
food_18,62,5,3,10,3,20,5,14,4
food_19,79,8,28,12,3,20,5,15,4
food_20,43,53,17,12,3,20,5,16,4
