Food,Nutrient_0,Nutrient_1,Nutrient_2,Nutrient_0_Delay,Nutrient_0_StdDev,Nutrient_1_Delay,Nutrient_1_StdDev,Nutrient_2_Delay,Nutrient_2_StdDev
food_1,17,11,32,5,1,7,2,6,2
food_2,58,43,19,5,2,7,2,6,2
food_3,26,13,28,5,1,6,2,6,2
food_4,113,47,15,5,2,7,2,6,2
food_5,97,36,24,5,2,7,2,5,1
food_6,66,40,22,5,2,7,2,6,2
food_7,31,54,13,5,1,7,2,6,1
food_8,22,59,40,5,1,7,2,6,2
food_9,3,23,7,4,1,7,2,5,1
food_10,103,35,2,5,1,6,2,5,2
food_11,9,50,34,5,1,7,2,6,2
food_12,37,28,12,5,1,7,2,6,2
food_13,94,26,22,5,2,7,2,6,2
food_14,51,18,37,5,1,6,2,6,2
food_15,74,30,4,5,2,6,2,5,1
food_16,116,2,8,5,2,7,2,6,1
food_17,88,16,35,5,2,7,2,6,2
food_18,62,5,3,4,2,7,2,5,2
food_19,79,8,28,5,1,7,2,6,2
food_20,43,53,17,5,1,7,2,6,2
