Food,Nutrient_0,Nutrient_1,Nutrient_2,Nutrient_0_Delay,Nutrient_0_StdDev,Nutrient_1_Delay,Nutrient_1_StdDev,Nutrient_2_Delay,Nutrient_2_StdDev
food_1,17,11,32,8,5,12,7,10,6
food_2,58,43,19,7,6,11,7,9,6
food_3,26,13,28,8,5,10,7,10,6
food_4,113,47,15,8,5,12,7,9,6
food_5,97,36,24,7,6,11,7,8,5
food_6,66,40,22,8,6,12,8,9,6
food_7,31,54,13,8,5,12,7,9,6
food_8,22,59,40,8,5,11,8,9,6
food_9,3,23,7,6,5,12,8,8,5
food_10,103,35,2,7,5,11,8,9,6
food_11,9,50,34,7,4,11,8,9,6
food_12,37,28,12,8,4,11,8,9,6
food_13,94,26,22,8,5,12,8,9,6
food_14,51,18,37,8,5,10,8,9,6
food_15,74,30,4,7,5,10,7,9,6
food_16,116,2,8,7,6,11,7,9,5
food_17,88,16,35,8,5,12,8,9,6
food_18,62,5,3,6,5,12,7,8,6
food_19,79,8,28,8,4,12,7,9,6
food_20,43,53,17,8,4,12,8,10,5
