Food,Nutrient_0,Nutrient_1,Nutrient_2,Nutrient_0_Delay,Nutrient_0_StdDev,Nutrient_1_Delay,Nutrient_1_StdDev,Nutrient_2_Delay,Nutrient_2_StdDev
food_1,17,11,32,8,2,12,3,10,3
food_2,58,43,19,7,2,11,3,9,3
food_3,26,13,28,8,2,10,3,10,2
food_4,113,47,15,8,2,12,3,9,2
food_5,97,36,24,7,2,11,3,8,2
food_6,66,40,22,8,2,12,4,9,3
food_7,31,54,13,8,2,12,3,9,2
food_8,22,59,40,8,2,11,3,9,3
food_9,3,23,7,6,2,12,3,8,2
food_10,103,35,2,7,2,11,3,9,3
food_11,9,50,34,7,2,11,3,9,3
food_12,37,28,12,8,2,11,4,9,3
food_13,94,26,22,8,2,12,3,9,3
food_14,51,18,37,8,2,10,3,9,3
food_15,74,30,4,7,2,10,3,9,2
food_16,116,2,8,7,2,11,3,9,2
food_17,88,16,35,8,2,12,4,9,3
food_18,62,5,3,6,2,12,3,8,3
food_19,79,8,28,8,2,12,3,9,3
food_20,43,53,17,8,2,12,3,10,2
