Food,Nutrient_0,Nutrient_1,Nutrient_2,Nutrient_0_Delay,Nutrient_0_StdDev,Nutrient_1_Delay,Nutrient_1_StdDev,Nutrient_2_Delay,Nutrient_2_StdDev
food_1,17,11,32,17,9,37,18,25,13
food_2,58,43,19,16,10,32,17,23,14
food_3,26,13,28,18,9,31,16,25,12
food_4,113,47,15,17,9,35,17,21,12
food_5,97,36,24,15,10,33,17,20,11
food_6,66,40,22,18,10,37,19,21,13
food_7,31,54,13,17,9,37,17,24,12
food_8,22,59,40,17,9,33,18,23,12
food_9,3,23,7,15,9,38,19,21,11
food_10,103,35,2,16,9,32,19,23,13
food_11,9,50,34,16,9,34,18,22,12
food_12,37,28,12,18,8,33,20,24,14
food_13,94,26,22,17,10,38,19,23,13
food_14,51,18,37,17,9,31,19,23,12
food_15,74,30,4,16,10,31,17,22,13
food_16,116,2,8,16,10,34,16,24,11
food_17,88,16,35,17,9,38,20,23,14
food_18,62,5,3,14,10,37,18,20,13
food_19,79,8,28,18,9,36,17,21,14
food_20,43,53,17,17,8,38,18,26,12
