Food,Nutrient_0,Nutrient_1,Nutrient_2,Nutrient_0_Delay,Nutrient_0_StdDev,Nutrient_1_Delay,Nutrient_1_StdDev,Nutrient_2_Delay,Nutrient_2_StdDev
food_1,17,11,32,17,4,37,9,25,6
food_2,58,43,19,16,4,32,8,23,6
food_3,26,13,28,18,4,31,8,25,6
food_4,113,47,15,17,4,35,8,21,6
food_5,97,36,24,15,4,33,8,20,5
food_6,66,40,22,18,4,37,9,21,6
food_7,31,54,13,17,4,37,8,24,6
food_8,22,59,40,17,4,33,9,23,6
food_9,3,23,7,15,4,38,9,21,5
food_10,103,35,2,16,4,32,9,23,6
food_11,9,50,34,16,4,34,9,22,6
food_12,37,28,12,18,4,33,10,24,6
food_13,94,26,22,17,4,38,9,23,6
food_14,51,18,37,17,4,31,9,23,6
food_15,74,30,4,16,4,31,8,22,6
food_16,116,2,8,16,4,34,8,24,5
food_17,88,16,35,17,4,38,10,23,6
food_18,62,5,3,14,4,37,9,20,6
food_19,79,8,28,18,4,36,8,21,6
food_20,43,53,17,17,4,38,9,26,5
