step,return_mean,return_std,foods_mean,foods_std
0,-36.02484245449305,4.122256414513083,25.4,3.9749213828703582
1,-33.59856332093477,5.123132919162124,23.2,2.4899799195977463
2,-34.4881102129817,5.320525811481982,25.2,2.588435821108957
3,-34.17882079333067,7.728087343033428,26.0,5.873670062235365
4,-36.49049623608589,3.00216072620285,26.6,2.0736441353327724
5,-32.433772538602355,6.016020375219389,22.4,4.61519230368573
6,-33.50602235794067,7.567165991970233,25.4,4.722287581247039
7,-34.940259620547295,6.9690023302186015,27.4,5.9413803110051795
8,-37.61468214243651,3.6390296330907197,26.6,4.61519230368573
9,-32.77277227789163,4.800943135766261,23.4,3.1304951684997055
10,-34.05904605537653,3.361856560400566,25.6,2.966479394838265
11,-31.10481764227152,5.819709562932952,23.2,3.7682887362833544
12,-35.39176521077752,8.036643321434827,24.8,3.7013511046643495
13,-34.14110123515129,4.537202799610246,26.4,2.3021728866442674
14,-37.794230066984895,4.477846256943578,25.8,2.588435821108957
15,-36.93267479985953,4.994870222306328,26.6,3.7815340802378077
16,-39.334259007871154,3.449038048151969,28.0,2.23606797749979
17,-37.40150003433227,4.117952049220106,25.4,3.6469165057620936
18,-34.18245050907135,3.130554590992152,23.8,2.8635642126552705
19,-35.8282482162118,4.660268437243128,25.2,2.280350850198276
20,-33.617574910074474,5.617881925056167,24.0,3.5355339059327378
21,-32.422717928886414,6.123380135805198,25.0,3.535533905932738
22,-35.06443955153227,5.478459922440216,25.4,3.209361307176242
23,-35.62090778648853,3.0960149049235417,26.4,2.073644135332772
24,-29.956339813768864,1.8256382545707635,21.6,2.073644135332772
25,-37.734792929887774,5.322971329345338,24.8,4.147288270665544
26,-34.56302021443844,3.346972315150353,21.6,2.302172886644268
27,-37.538102589547634,4.37092433968129,26.4,2.5099800796022262
28,-34.39043572694063,3.50752157486751,25.6,3.209361307176242
29,-35.790919817984104,6.418024953052626,26.4,4.505552130427524
30,-37.628150175511834,3.3113709761782806,26.0,2.8284271247461903
31,-34.158950517326595,7.379943621687198,24.2,4.324349662087931
32,-31.640994308143853,1.8324642169607526,24.2,2.5884358211089573
33,-38.69504683315754,4.739255398484337,27.4,3.9115214431215897
34,-33.325377714633944,2.558605599835523,24.6,1.9493588689617927
35,-30.9425567984581,3.240157919059067,22.8,2.588435821108957
36,-39.47917485013604,4.238185645220909,27.2,5.805170109479997
37,-31.688202679902314,3.451062369225865,21.8,2.863564212655271
38,-34.201900666952135,3.501030747262265,23.8,2.280350850198276
39,-34.59794142246246,3.6213923508637507,24.2,4.207136793592526
40,-29.903740735352038,7.2901998331816875,22.2,4.207136793592526
41,-33.40040326043963,2.0240681930900895,22.4,3.5777087639996634
42,-33.361321645230056,6.418028761013424,25.2,3.7682887362833544
43,-35.09137283861637,4.403556093580155,25.2,2.387467277262665
44,-32.39611339718103,6.457319157322503,23.8,3.114482300479487
45,-37.419487689435485,3.2297737423333723,24.2,3.5637059362410923
46,-34.84717406630516,4.383128465963963,25.0,4.12310562561766
47,-36.66266988962889,4.768070584873315,24.8,3.898717737923586
48,-35.03269499093294,2.714099450962635,25.0,3.3166247903554003
49,-34.918058200925586,7.643213466771739,25.4,6.107372593840988
50,-36.73012211322784,4.957926597212082,26.6,5.319774431308154
51,-35.918537232279775,3.6520329729554457,24.6,3.0495901363953815
52,-41.09408366382122,5.725554416358769,28.0,4.358898943540674
53,-31.56024936437607,6.25592333899291,23.8,3.271085446759225
54,-32.69880510494113,7.644823277220573,25.6,5.727128425310541
55,-34.43221388161182,3.5547509756712974,24.6,3.361547262794322
56,-37.55887668579817,4.013415772924774,27.2,4.816637831516918
57,-36.450731275975706,6.286768637159364,25.4,2.1908902300206647
58,-37.83929202407599,2.3795152701587887,27.0,3.9370039370059056
59,-32.79191531613469,3.4005788955817953,24.2,3.420526275297414
60,-36.635699931532145,6.987953904094333,23.0,5.338539126015656
61,-35.91729963123798,1.8842507830292117,23.8,2.7748873851023212
62,-32.765368989109994,8.90707900268135,24.4,5.224940191045253
63,-33.786373782157895,5.973083467539617,24.6,4.03732584763727
64,-33.4455098465085,7.893264626826262,24.2,6.058052492344384
65,-34.52123760133982,3.3343748836544433,23.8,2.2803508501982757
66,-35.80445389971137,4.248820453699212,25.4,3.361547262794322
67,-32.24053934365511,4.1117049572819155,25.0,3.9370039370059056
68,-36.10809028595686,2.978983278788993,23.2,2.280350850198276
69,-36.175138022005555,4.3054853356505625,26.2,3.5637059362410928
70,-33.60629250109196,3.176108926274139,23.4,1.5165750888103104
71,-34.017295461893085,4.440743812490218,24.8,4.868264577855234
