step,return_mean,return_std,foods_mean,foods_std
0,-27.911423408985137,3.15480775857319,23.4,2.073644135332773
1,-27.915247812867165,3.192795004480036,25.0,3.24037034920393
2,-23.345838743448258,4.130944413008896,22.6,4.03732584763727
3,-30.485255490243436,3.01717604710249,25.4,2.302172886644268
4,-32.417208291590214,4.696641729739929,27.8,2.7748873851023217
5,-29.026248714327814,3.7205251988601296,26.8,2.6832815729997477
6,-28.984145245701075,4.914351428209213,25.8,1.3038404810405297
7,-30.848404594883323,2.795633044920588,25.4,4.037325847637271
8,-27.707188479602337,3.352621841913248,25.2,3.2710854467592254
9,-27.70331451743841,2.215738776953939,21.6,1.1401754250991376
10,-26.93730355128646,4.0736902855318275,21.6,3.577708763999663
11,-29.332959470152854,2.71977317543391,25.0,3.872983346207417
12,-33.66514413356781,3.8111537334005403,25.6,2.7018512172212596
13,-30.13422598540783,4.219502811183974,24.6,2.701851217221259
14,-30.56907728090882,2.520479973367431,25.0,4.183300132670378
15,-26.641632355749607,3.318674754413524,24.8,4.381780460041329
16,-31.349406515806912,2.6107108156430936,25.6,5.029910535983717
17,-30.618560606986286,2.900778378992865,24.6,2.8809720581775866
18,-27.682607370615006,4.330586686565006,24.2,1.7888543819998317
19,-24.27436746805906,3.5354084363772262,19.4,1.6733200530681507
20,-30.11651029288769,4.097751058548663,24.4,3.7815340802378077
21,-28.155540212243796,5.655041253417282,22.4,3.6469165057620945
22,-26.0620950832963,4.163143021275812,22.4,4.669047011971501
23,-28.388671742379664,4.068692663172473,22.8,0.8366600265340757
24,-31.750311513990162,3.5614646289268688,23.6,3.2093613071762426
25,-28.323152811825274,1.8028692292842474,22.4,1.9493588689617927
26,-26.70282019674778,2.8799132873870166,24.4,4.33589667773576
27,-31.79690719395876,5.887367779379289,26.2,4.494441010848846
28,-26.045073020458222,5.566397524307274,24.4,4.722287581247038
29,-27.910923224687576,2.787796268623534,24.2,3.3466401061363014
30,-31.219829165190458,3.0051436509985616,23.2,3.1144823004794873
31,-30.602009204030036,1.635462309189807,24.6,2.701851217221259
32,-24.275477808713912,4.381599848518391,18.8,3.492849839314596
33,-30.171030840277673,2.8678941183680995,24.2,3.03315017762062
34,-30.549719918146728,4.123522468923987,24.6,2.9664793948382653
35,-28.983760792016984,4.0090641118815675,23.4,3.9115214431215892
36,-27.05036107599735,5.081820203775392,23.0,3.9370039370059056
37,-27.98903559073806,4.761353749230194,24.4,5.319774431308155
38,-29.067838141322135,3.017242844630848,21.6,3.5777087639996634
39,-29.46353672221303,5.819270078929948,24.0,3.674234614174767
40,-33.47782616019249,2.7920282367823663,25.0,2.0
41,-30.286087218672037,2.423848675600484,22.0,3.3166247903554
42,-31.031364692747594,1.935014608552219,26.6,2.880972058177586
43,-27.69564767032862,5.357769201459706,23.2,5.069516742254631
44,-25.237144516408442,5.4210603667952935,22.4,2.7018512172212588
45,-29.423165817558765,1.134301538051392,24.2,2.5884358211089564
46,-31.284216516464948,3.3369154518978235,25.2,1.643167672515498
47,-26.07637602686882,5.617568927920139,24.0,3.9370039370059056
48,-29.340108743309976,4.668734200818411,25.2,5.019960159204453
49,-32.79542270451784,4.275838388071654,27.0,4.847679857416329
50,-29.429239208996297,4.295069384604164,23.8,4.207136793592526
51,-28.888941632211207,2.206157078151719,22.6,4.159326868617084
52,-26.159610839188097,2.4276343946378582,22.8,3.96232255123179
53,-30.556714374199508,3.253225984126981,24.2,4.147288270665545
54,-29.76004008129239,5.530613847303203,26.4,5.458937625582473
55,-30.038373832404613,5.454980990618591,25.0,2.449489742783178
56,-32.230877704918385,6.857374626462736,28.4,3.361547262794322
57,-31.226441676169635,2.471005770243824,26.0,2.449489742783178
58,-30.77066628187895,3.2351715500558713,24.2,5.263078946776307
59,-29.78559683933854,3.596631756605958,23.8,2.4899799195977463
60,-27.81901642754674,4.8275891251980605,25.2,6.723094525588644
